experiment,PID,group,Experimenter,task,trial,cued,response
felt touch,asd06,ASD,3,forced choice,54,love,love
felt touch,asd06,ASD,3,forced choice,55,attention,attention
felt touch,asd06,ASD,3,forced choice,56,gratitude,happiness
felt touch,asd06,ASD,3,forced choice,57,happiness,other
felt touch,asd06,ASD,3,forced choice,58,love,love
felt touch,asd06,ASD,3,forced choice,59,calming,calming
felt touch,asd06,ASD,3,forced choice,60,sadness,calming
felt touch,asd07,ASD,3,forced choice,1,gratitude,calming
felt touch,asd07,ASD,3,forced choice,2,love,gratitude
felt touch,asd07,ASD,3,forced choice,3,attention,attention
felt touch,asd07,ASD,3,forced choice,4,sadness,sadness
felt touch,asd07,ASD,3,forced choice,5,calming,love
felt touch,asd07,ASD,3,forced choice,6,happiness,attention
felt touch,asd07,ASD,3,forced choice,7,attention,attention
felt touch,asd07,ASD,3,forced choice,8,love,happiness
felt touch,asd07,ASD,3,forced choice,9,happiness,attention
felt touch,asd07,ASD,3,forced choice,10,gratitude,calming
felt touch,asd07,ASD,3,forced choice,11,calming,gratitude
felt touch,asd07,ASD,3,forced choice,12,sadness,sadness
felt touch,asd07,ASD,3,forced choice,13,sadness,gratitude
felt touch,asd07,ASD,3,forced choice,14,love,attention
felt touch,asd07,ASD,3,forced choice,15,happiness,attention
felt touch,asd07,ASD,3,forced choice,16,attention,attention
felt touch,asd07,ASD,3,forced choice,17,gratitude,happiness
felt touch,asd07,ASD,3,forced choice,18,calming,sadness
felt touch,asd07,ASD,3,forced choice,19,gratitude,attention
felt touch,asd07,ASD,3,forced choice,20,sadness,love
felt touch,asd07,ASD,3,forced choice,21,attention,gratitude
felt touch,asd07,ASD,3,forced choice,22,happiness,gratitude
felt touch,asd07,ASD,3,forced choice,23,calming,sadness
felt touch,asd07,ASD,3,forced choice,24,love,happiness
felt touch,asd07,ASD,3,forced choice,25,attention,happiness
felt touch,asd07,ASD,3,forced choice,26,gratitude,happiness
felt touch,asd07,ASD,3,forced choice,27,happiness,gratitude
felt touch,asd07,ASD,3,forced choice,28,love,happiness
felt touch,asd07,ASD,3,forced choice,29,sadness,love
felt touch,asd07,ASD,3,forced choice,30,calming,sadness
felt touch,asd07,ASD,3,forced choice,31,sadness,love
felt touch,asd07,ASD,3,forced choice,32,gratitude,gratitude
felt touch,asd07,ASD,3,forced choice,33,love,sadness
felt touch,asd07,ASD,3,forced choice,34,attention,attention
felt touch,asd07,ASD,3,forced choice,35,calming,sadness
felt touch,asd07,ASD,3,forced choice,36,happiness,gratitude
felt touch,asd07,ASD,3,forced choice,37,happiness,gratitude
felt touch,asd07,ASD,3,forced choice,38,attention,attention
felt touch,asd07,ASD,3,forced choice,39,love,happiness
felt touch,asd07,ASD,3,forced choice,40,sadness,love
felt touch,asd07,ASD,3,forced choice,41,calming,gratitude
felt touch,asd07,ASD,3,forced choice,42,gratitude,attention
felt touch,asd07,ASD,3,forced choice,43,happiness,gratitude
felt touch,asd07,ASD,3,forced choice,44,love,sadness
felt touch,asd07,ASD,3,forced choice,45,calming,sadness
felt touch,asd07,ASD,3,forced choice,46,sadness,gratitude
felt touch,asd07,ASD,3,forced choice,47,gratitude,attention
felt touch,asd07,ASD,3,forced choice,48,attention,attention
felt touch,asd07,ASD,3,forced choice,49,happiness,gratitude
felt touch,asd07,ASD,3,forced choice,50,gratitude,attention
felt touch,asd07,ASD,3,forced choice,51,calming,sadness
felt touch,asd07,ASD,3,forced choice,52,sadness,love
felt touch,asd07,ASD,3,forced choice,53,attention,attention
felt touch,asd07,ASD,3,forced choice,54,love,sadness
felt touch,asd07,ASD,3,forced choice,55,calming,gratitude
felt touch,asd07,ASD,3,forced choice,56,happiness,attention
felt touch,asd07,ASD,3,forced choice,57,love,sadness
felt touch,asd07,ASD,3,forced choice,58,gratitude,attention
felt touch,asd07,ASD,3,forced choice,59,attention,attention
felt touch,asd07,ASD,3,forced choice,60,sadness,gratitude
felt touch,asd08,ASD,3,forced choice,1,sadness,sadness
felt touch,asd08,ASD,3,forced choice,2,calming,love
felt touch,asd08,ASD,3,forced choice,3,attention,attention
felt touch,asd08,ASD,3,forced choice,4,gratitude,attention
felt touch,asd08,ASD,3,forced choice,5,love,love
felt touch,asd08,ASD,3,forced choice,6,happiness,happiness
felt touch,asd08,ASD,3,forced choice,7,calming,sadness
felt touch,asd08,ASD,3,forced choice,8,happiness,attention
felt touch,asd08,ASD,3,forced choice,9,love,love
felt touch,asd08,ASD,3,forced choice,10,gratitude,attention
felt touch,asd08,ASD,3,forced choice,11,sadness,sadness
felt touch,asd08,ASD,3,forced choice,12,attention,attention
felt touch,asd08,ASD,3,forced choice,13,love,love
felt touch,asd08,ASD,3,forced choice,14,sadness,sadness
felt touch,asd08,ASD,3,forced choice,15,calming,love
felt touch,asd08,ASD,3,forced choice,16,happiness,attention
felt touch,asd08,ASD,3,forced choice,17,gratitude,attention
felt touch,asd08,ASD,3,forced choice,18,attention,attention
felt touch,asd08,ASD,3,forced choice,19,gratitude,attention
felt touch,asd08,ASD,3,forced choice,20,sadness,sadness
felt touch,asd08,ASD,3,forced choice,21,love,love
felt touch,asd08,ASD,3,forced choice,22,happiness,attention
felt touch,asd08,ASD,3,forced choice,23,attention,attention
felt touch,asd08,ASD,3,forced choice,24,calming,sadness
felt touch,asd08,ASD,3,forced choice,25,happiness,attention
felt touch,asd08,ASD,3,forced choice,26,love,love
felt touch,asd08,ASD,3,forced choice,27,sadness,sadness
felt touch,asd08,ASD,3,forced choice,28,attention,attention
felt touch,asd08,ASD,3,forced choice,29,gratitude,attention
felt touch,asd08,ASD,3,forced choice,30,calming,love
felt touch,asd08,ASD,3,forced choice,31,sadness,sadness
felt touch,asd08,ASD,3,forced choice,32,happiness,attention
felt touch,asd08,ASD,3,forced choice,33,love,love
felt touch,asd08,ASD,3,forced choice,34,attention,attention
